sku_id,product_name,manufacturer,category,voltage_rating,conductor_material,core_count,size_sqmm,insulation_type,sheath_type,temperature_rating,fire_resistance,armouring,standards_complied,price_per_unit,lead_time_days
SKU_269,FRLS 4C Instrumentation Cable (2.5sqmm 1.1kV),RR Kabel,Instrumentation Cable,1.1kV,Aluminium,4,2.5,PVC,PVC,70C,FRLS,Yes,IEC 60502,127,9
SKU_270,16C Copper Control Cable,Apar Industries,Control Cable,1.1kV,Copper,16,2.5,PVC,LSZH,70C,Non-FR,Yes,IS 1554,165,15
SKU_271,FRLS 27C Control Cable (6sqmm 600V),Havells,Control Cable,600V,Aluminium,27,6,PVC,PVC,70C,FRLS,No,IS 1554,266,12
SKU_272,FRLS 12C Instrumentation Cable (2.5sqmm 500V),Apar Industries,Instrumentation Cable,500V,Copper,12,2.5,XLPE,LSZH,90C,FRLS,No,IEC 60502,370,17
SKU_273,6C Instrumentation Cable (2.5sqmm 600V),Apar Industries,Instrumentation Cable,600V,Copper,6,2.5,XLPE,LSZH,90C,Non-FR,No,IEC 60502,589,13
SKU_274,2C Instrumentation Cable (2.5sqmm 600V),Polycab,Instrumentation Cable,600V,Copper,2,2.5,PVC,PVC,70C,FR,Yes,IEC 60502,800,12
SKU_275,16C Instrumentation Cable (2.5sqmm 1.1kV),Havells,Instrumentation Cable,1.1kV,Copper,16,2.5,XLPE,HDPE,90C,FR,Yes,IEC 60502,513,18
SKU_276,FRLS 27C Control Cable (4sqmm 500V),Apar Industries,Control Cable,500V,Copper,27,4,PVC,LSZH,70C,FRLS,Yes,IS 1554,270,7
SKU_277,4C Copper Control Cable (4sqmm 1.1kV),Universal Cables,Control Cable,1.1kV,Copper,4,4,PVC,HDPE,70C,Non-FR,No,IS 1554,396,14
SKU_278,5C Flexible Aluminium Cable (4sqmm 440V),Gloster,Flexible Cable,440V,Aluminium,5,4,PVC,PVC,70C,FR,No,IS 694,174,12
SKU_279,FRLS 22kV EPR Cable,Finolex,Power Cable,22kV,Aluminium,3,185,EPR,PVC,90C,FRLS,Yes,IEC 60331,1626,22
SKU_280,FRLS 24C Control Cable (6sqmm 500V),Apar Industries,Control Cable,500V,Copper,24,6,PVC,PVC,70C,FRLS,No,IS 1554,525,13
SKU_281,12C Instrumentation Cable (1.5sqmm 600V),Polycab,Instrumentation Cable,600V,Aluminium,12,1.5,PVC,HDPE,70C,Non-FR,Yes,IEC 60502,236,12
SKU_282,FRLS 33kV XLPE Cable (240sqmm 33kV),Apar Industries,Power Cable,33kV,Aluminium,3,240,XLPE,PVC,90C,FRLS,No,IEC 60840,3965,26
SKU_283,3C Flexible Aluminium Cable (1.5sqmm 440V),Havells,Flexible Cable,440V,Aluminium,3,1.5,PVC,HDPE,70C,FRLS,No,IS 694,177,6
SKU_284,4C Instrumentation Cable (1.5sqmm 600V),Finolex,Instrumentation Cable,600V,Aluminium,4,1.5,XLPE,LSZH,90C,FR,No,IEC 60502,403,11
SKU_285,37C Aluminium Control Cable (4sqmm 1.1kV),Universal Cables,Control Cable,1.1kV,Aluminium,37,4,PVC,PVC,70C,Non-FR,No,IS 1554,87,10
SKU_286,19C Copper Control Cable (4sqmm 600V),KEI,Control Cable,600V,Copper,19,4,PVC,PVC,70C,Non-FR,Yes,IS 1554,475,10
SKU_287,132kV EPR Co Cable,Universal Cables,Power Cable,132kV,Copper,3,800,EPR,PVC,90C,Non-FR,Yes,IEC 60331,10997,38
SKU_288,FRLS 6C Instrumentation Cable (1.5sqmm 500V),Gloster,Instrumentation Cable,500V,Aluminium,6,1.5,XLPE,PVC,90C,FRLS,No,IEC 60502,407,14
SKU_289,FRLS 27C Control Cable (6sqmm 500V),Gloster,Control Cable,500V,Copper,27,6,PVC,LSZH,70C,FRLS,Yes,IS 1554,418,12
SKU_290,FRLS 16C Control Cable (6sqmm 1.1kV),Apar Industries,Control Cable,1.1kV,Copper,16,6,PVC,LSZH,70C,FRLS,No,IS 1554,148,14
SKU_291,FRLS 10C Control Cable (4sqmm 500V),Polycab,Control Cable,500V,Copper,10,4,PVC,PVC,70C,FRLS,No,IS 1554,449,14
SKU_292,FRLS 37C Control Cable (6sqmm 600V),RR Kabel,Control Cable,600V,Aluminium,37,6,PVC,LSZH,70C,FRLS,No,IS 1554,243,8
SKU_293,16C Instrumentation Cable (2.5sqmm 500V),RR Kabel,Instrumentation Cable,500V,Copper,16,2.5,XLPE,HDPE,90C,FR,Yes,IEC 60502,629,10
SKU_294,4C Aluminium Control Cable,KEI,Control Cable,500V,Aluminium,4,2.5,PVC,HDPE,70C,FR,No,IS 1554,272,13
SKU_295,FRLS 2C Instrumentation Cable (1.5sqmm 600V),Apar Industries,Instrumentation Cable,600V,Aluminium,2,1.5,PVC,HDPE,70C,FRLS,No,IEC 60502,146,17
SKU_296,4C Flexible Aluminium Cable (6sqmm 600V),Universal Cables,Flexible Cable,600V,Aluminium,4,6,PVC,HDPE,70C,FRLS,No,IS 694,213,8
SKU_297,Fire Survival 11kV Cable (240sqmm 11kV),Finolex,Power Cable,11kV,Aluminium,3,240,XLPE,LSZH,90C,FR,Yes,IEC 60331,2644,25
SKU_298,4C Flexible Copper Cable (6sqmm 1.1kV),Finolex,Flexible Cable,1.1kV,Copper,4,6,PVC,HDPE,70C,FR,No,IS 694,199,6
SKU_299,1C Instrumentation Cable (2.5sqmm 500V),Polycab,Instrumentation Cable,500V,Copper,1,2.5,PVC,PVC,70C,Non-FR,No,IEC 60502,464,9
SKU_300,2C Flexible Copper Cable (1.5sqmm 1.1kV),KEI,Flexible Cable,1.1kV,Copper,2,1.5,PVC,LSZH,70C,FRLS,No,IS 694,384,6
